"Benchmark","Runtime","AvgMs","MinMs"
"startup.js","forge","26","25.2"
"startup.js","bun","50.14","46.1"
"startup.js","node","56.98","51.63"
"json-bench.js","forge","386.01","385.02"
"json-bench.js","bun","274.55","268.22"
"json-bench.js","node","566.36","564.73"
"loop-bench.js","forge","90.12","89.37"
"loop-bench.js","bun","81.82","80.65"
"loop-bench.js","node","103.9","101.56"
