"Benchmark","Runtime","AvgMs","MedianMs","MinMs"
"startup.js","bun","72.31","69.78","51.84"
"startup.js","node","52.35","52.63","46.2"
"json-bench.js","bun","251.51","250.6","249.6"
"json-bench.js","node","549.4","551.45","541.3"
"loop-bench.js","bun","75.18","73.99","72.81"
"loop-bench.js","node","93.89","93.27","92.82"
"timer-bench.js","bun","57.32","54.1","52.46"
"timer-bench.js","node","99.03","95.51","67.55"
"microtask-bench.js","bun","53.53","53.54","52.93"
"microtask-bench.js","node","105.37","105.48","104.44"
"promise-chain-bench.js","bun","44.33","44.47","43.71"
"promise-chain-bench.js","node","48.46","48.59","47.54"
