"Benchmark","Runtime","AvgMs","MedianMs","MinMs"
"startup.js","bun","43.6","43.03","41.12"
"startup.js","node","50.22","48.57","46.15"
"json-bench.js","bun","262.9","262.93","253.2"
"json-bench.js","node","556.81","552.89","550.03"
"loop-bench.js","bun","75.2","75.21","74.04"
"loop-bench.js","node","96.07","95.47","94.82"
"timer-bench.js","bun","58.89","56.42","55.45"
"timer-bench.js","node","64.91","62.27","61.35"
"microtask-bench.js","bun","53.81","53.59","53.22"
"microtask-bench.js","node","121.72","123.6","105.51"
"promise-chain-bench.js","bun","45.23","44.71","44.13"
"promise-chain-bench.js","node","52.35","51.44","50.18"
