"Benchmark","Runtime","AvgMs","MinMs"
"startup.js","forge","25.01","23.76"
"startup.js","bun","47.35","46.36"
"startup.js","node","53.85","51.76"
"json-bench.js","forge","383.29","380.99"
"json-bench.js","bun","264.53","261.04"
"json-bench.js","node","566.12","559.61"
"loop-bench.js","forge","89.96","89.15"
"loop-bench.js","bun","81.23","80.46"
"loop-bench.js","node","103.21","101.75"
