"Benchmark","Runtime","AvgMs","MinMs"
"startup.js","forge","19.67","18.77"
"startup.js","bun","40.3","39.79"
"startup.js","node","45.7","44.38"
"json-bench.js","forge","370.43","367.93"
"json-bench.js","bun","254.04","252.86"
"json-bench.js","node","553.52","547.47"
"loop-bench.js","forge","83.36","82.38"
"loop-bench.js","bun","74.13","73.2"
"loop-bench.js","node","95.11","93.46"
