"Benchmark","Runtime","AvgMs","MedianMs","MinMs"
"startup.js","bun","41.61","39.22","38.22"
"startup.js","node","46.5","46.68","44.13"
"json-bench.js","bun","255.17","255.43","253.73"
"json-bench.js","node","544.13","539.98","536.94"
"loop-bench.js","bun","73.44","73.18","71.72"
"loop-bench.js","node","92.84","92.44","92.09"
"timer-bench.js","bun","55.72","53.8","52.77"
"timer-bench.js","node","59.22","59.06","58.94"
"microtask-bench.js","bun","53.14","52.91","52.56"
"microtask-bench.js","node","105.19","104.6","104"
"promise-chain-bench.js","bun","44.21","43.56","42.86"
"promise-chain-bench.js","node","48.11","47.74","47.55"
