"Benchmark","Runtime","AvgMs","MedianMs","MinMs"
"startup.js","bun","39.84","39.98","39.42"
"startup.js","node","46.36","46.62","44.86"
"json-bench.js","bun","255.06","255.1","253.83"
"json-bench.js","node","567.47","551.13","546.08"
"loop-bench.js","bun","76.09","74.37","73.68"
"loop-bench.js","node","99.79","99.72","95.13"
"timer-bench.js","bun","53.85","54.54","49.5"
"timer-bench.js","node","66.74","65.49","62.05"
"microtask-bench.js","bun","58.19","58.58","56.99"
"microtask-bench.js","node","107.96","107.16","105.68"
"promise-chain-bench.js","bun","46.48","46.09","45.84"
"promise-chain-bench.js","node","50.18","50","49.72"
