"Benchmark","Runtime","AvgMs","MedianMs","MinMs"
"startup.js","forge","18.49","18.44","17.98"
"startup.js","bun","38.89","39.08","37.86"
"startup.js","node","44.29","44.24","43.7"
"json-bench.js","forge","364.67","363.32","362.86"
"json-bench.js","bun","250.09","249.8","248.06"
"json-bench.js","node","542.85","541.44","535.41"
"loop-bench.js","forge","82.3","82.36","81.39"
"loop-bench.js","bun","73.03","72.87","71.86"
"loop-bench.js","node","92.55","92.96","91.17"
"timer-bench.js","forge","21.4","21.26","21.08"
"timer-bench.js","bun","58.04","55.84","52.16"
"timer-bench.js","node","59.08","58.98","58.87"
"microtask-bench.js","forge","56.04","56.18","55.07"
"microtask-bench.js","bun","54.27","54.07","53.4"
"microtask-bench.js","node","103.96","103.86","103.04"
"promise-chain-bench.js","forge","85.88","85.81","84.73"
"promise-chain-bench.js","bun","43.57","43.47","43.27"
"promise-chain-bench.js","node","48.86","48.08","47.85"
