"Benchmark","Runtime","AvgMs","MedianMs","MinMs"
"startup.js","bun","40.18","40.17","38.8"
"startup.js","node","45.47","45.12","44.11"
"json-bench.js","bun","258.01","253.76","248.3"
"json-bench.js","node","538.25","539.87","533.75"
"loop-bench.js","bun","73.15","72.55","71.92"
"loop-bench.js","node","92.83","92.7","91.62"
"timer-bench.js","bun","57.67","54.53","53.87"
"timer-bench.js","node","59.77","59.92","58.22"
"microtask-bench.js","bun","54.13","53.95","53.64"
"microtask-bench.js","node","107.61","107.2","106.03"
"promise-chain-bench.js","bun","44.44","44.06","42.89"
"promise-chain-bench.js","node","49.01","48.71","46.94"
