"Benchmark","Runtime","AvgMs","MedianMs","MinMs"
"startup.js","bun","39.39","39.55","38.2"
"startup.js","node","45.32","44.41","44.09"
"json-bench.js","bun","257.36","258.21","255.03"
"json-bench.js","node","544.15","544.02","542.37"
"loop-bench.js","bun","73.81","73.64","73.36"
"loop-bench.js","node","96.68","95.45","92.98"
"timer-bench.js","bun","55.67","53.96","53.71"
"timer-bench.js","node","61.3","61.77","59.84"
"microtask-bench.js","bun","54.35","54.3","53.99"
"microtask-bench.js","node","105.43","105.72","103.43"
"promise-chain-bench.js","bun","45.45","44.7","42.98"
"promise-chain-bench.js","node","48.88","48.82","47.84"
