"Benchmark","Runtime","AvgMs","MedianMs","MinMs"
"startup.js","forge","18.37","18.33","17.85"
"startup.js","bun","39.09","39.08","38.57"
"startup.js","node","44.52","44.09","43.72"
"json-bench.js","forge","367.22","367.09","366.03"
"json-bench.js","bun","249.65","250.16","247.73"
"json-bench.js","node","539.32","537.87","537"
"loop-bench.js","forge","82.28","82.28","80.96"
"loop-bench.js","bun","72.44","72.54","71.41"
"loop-bench.js","node","92.08","92.08","91.33"
"timer-bench.js","forge","21.15","21.08","20.4"
"timer-bench.js","bun","53.32","54.64","45.72"
"timer-bench.js","node","59.49","59.28","58.92"
"microtask-bench.js","bun","54.19","53.93","53.22"
"microtask-bench.js","node","104.83","104.86","103.58"
"promise-chain-bench.js","forge","86.25","85.85","85.61"
"promise-chain-bench.js","bun","43.73","43.73","43.04"
"promise-chain-bench.js","node","48.77","49.15","47.04"
