"Benchmark","Runtime","AvgMs","MedianMs","MinMs"
"startup.js","bun","38.84","39.12","38.13"
"startup.js","node","44.37","44.67","43.61"
"json-bench.js","bun","251.62","251.66","251.16"
"json-bench.js","node","546.84","547.28","541.13"
"loop-bench.js","bun","72.54","72.19","71.17"
"loop-bench.js","node","91.82","91.69","90.87"
"timer-bench.js","bun","57.97","54.38","53.21"
"timer-bench.js","node","58.99","59.23","57.85"
"microtask-bench.js","bun","56.02","55.9","55.21"
"microtask-bench.js","node","108.15","107.92","106.29"
"promise-chain-bench.js","bun","45.04","44.98","43.48"
"promise-chain-bench.js","node","48.59","49.14","46.94"
