"Benchmark","Runtime","AvgMs","MedianMs","MinMs"
"startup.js","bun","39.23","39.45","38.51"
"startup.js","node","44.67","44.76","43.99"
"json-bench.js","bun","254.19","251.55","250.09"
"json-bench.js","node","538.89","539.5","533.77"
"loop-bench.js","bun","72.88","72.52","72.28"
"loop-bench.js","node","96.35","96.52","93.43"
"timer-bench.js","bun","57.17","57.49","54.23"
"timer-bench.js","node","60.35","60.6","58.51"
"microtask-bench.js","bun","53.92","53.96","52.89"
"microtask-bench.js","node","105.24","105.6","102.74"
"promise-chain-bench.js","bun","45.27","44.69","43.61"
"promise-chain-bench.js","node","49.17","49.07","47.85"
